#  step      rmse_val    rmse_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   3030      4.44e+01    4.03e+00      1.40e+00    1.28e-01    5.0e-04
   3040      4.63e+01    4.69e+00      1.47e+00    1.48e-01    5.0e-04
   3050      4.51e+01    9.70e+00      1.43e+00    3.07e-01    5.0e-04
   3060      3.89e+01    5.32e+00      1.23e+00    1.68e-01    5.0e-04
   3070      4.84e+01    5.27e+00      1.53e+00    1.67e-01    5.0e-04
   3080      5.17e+01    5.60e+00      1.64e+00    1.77e-01    5.0e-04
   3090      5.81e+01    4.11e+00      1.84e+00    1.30e-01    5.0e-04
   3100      5.19e+01    1.97e+00      1.64e+00    6.23e-02    5.0e-04
   3110      5.21e+01    4.10e+00      1.65e+00    1.30e-01    5.0e-04
   3120      4.02e+01    5.94e+00      1.27e+00    1.88e-01    5.0e-04
   3130      5.23e+01    3.82e+00      1.65e+00    1.21e-01    5.0e-04
   3140      5.06e+01    4.84e+00      1.60e+00    1.53e-01    5.0e-04
   3150      5.53e+01    3.64e+00      1.75e+00    1.15e-01    5.0e-04
   3160      4.53e+01    3.97e+00      1.43e+00    1.26e-01    5.0e-04
   3170      4.89e+01    7.61e+00      1.55e+00    2.41e-01    5.0e-04
   3180      4.99e+01    4.77e+00      1.58e+00    1.51e-01    5.0e-04
   3190      4.40e+01    4.99e+00      1.39e+00    1.58e-01    5.0e-04
   3200      4.65e+01    4.76e+00      1.47e+00    1.51e-01    5.0e-04
   3210      5.18e+01    3.24e+00      1.64e+00    1.03e-01    5.0e-04
   3220      5.18e+01    5.15e+00      1.64e+00    1.63e-01    5.0e-04
   3230      5.13e+01    7.11e+00      1.62e+00    2.25e-01    5.0e-04
   3240      4.84e+01    5.28e+00      1.53e+00    1.67e-01    5.0e-04
   3250      5.43e+01    3.04e+00      1.72e+00    9.62e-02    5.0e-04
   3260      4.90e+01    4.12e+00      1.55e+00    1.30e-01    5.0e-04
   3270      4.74e+01    8.09e+00      1.50e+00    2.56e-01    5.0e-04
